Défi,Livrable,Tâche,Fait le,Cat,OK
Lab Santé,Simplex,"Simplex, changement d’approche pour l’allocation des flux",<2018-03-09 ven.>,PMU,
Lab Santé,SNDS,Galère sur la plateforme des données hospitalières (ATIH – PMSI),<2018-03-09 ven.>,T,
Lab Santé,MicroSim,Communauté MicroSim : Demande d’accès adullact.net à la DSI,<2018-03-09 ven.>,T,
Lab Santé,SNDS,SNDS : tests de fonctions/packages R pour lire des fichiers txt à plat avec ou sans schéma,<2018-03-09 ven.>,P,
Lab Santé,Distancier,Réunion Bison futé pour pb d’accès aux données limités,<2018-03-09 ven.>,MD,
Lab Santé,Formation,Formation Python: Construction de la future formation avec des agents de la DREES,<2018-03-09 ven.>,P,
Lab Santé,GUEPARD,GUEPARD: Amélioration du code pour le Groupe Utilisateur GUEPARD,<2018-03-09 ven.>,P,
Lab Santé,Scraping Medecins,Scraping: Test du passage par tor pour roulement d'IP en vue de scraping,<2018-03-09 ven.>,AP,
Lab Santé,Séminaire Big Data,Sébastion Cossin ancien EIG: retex et présentation de son appli sur les parcours de soin,<2018-03-09 ven.>,AM,
Prédisauvetage,,Obtention données accidents mortels en kayak / rafting / eau vive,<2018-03-09 ven.>,D,
Prédisauvetage,,Analyses du croisement bases DAM / SNSM,<2018-03-09 ven.>,D,
Prédisauvetage,,Rapport d'incohérence relevées entre ces 2 bases et conseils,<2018-03-09 ven.>,DPT,
Prédisauvetage,,Questions à l'observatoire de l'accidentologie en montagne,<2018-03-09 ven.>,M,
Prédisauvetage,,Lecture rapport de l'institut national de veille sanitaire sur les noyades,<2018-03-09 ven.>,D,
Prédisauvetage,,Relance SI de St Malo pour accès directs SQL aux bdd,<2018-03-09 ven.>,D,
Prédisauvetage,,Relance SI St Malo pour mise à disposition d'une VM,<2018-03-09 ven.>,S,
Signaux Faibles,,Pierre est rentré dans le code jusqu'au cou !,<2018-03-09 ven.>,AI,
Signaux Faibles,,Pierre a débuté investigations pour autres modèles statistiques,<2018-03-09 ven.>,D,
Signaux Faibles,,Investigations sur le fichier banque de france,<2018-03-09 ven.>,D,
Signaux Faibles,,Réunion Urssaf Bourgogne et Franche Comté pour discuter data/calcul et recette prédiction,<2018-03-09 ven.>,ADU,
Signaux Faibles,,1 nouvelle prédiction livrée suite aux corrections induites par le stage urssaf,<2018-03-09 ven.>,CDU,
Signaux Faibles,,Atelier RoadMap avec notre mentor,<2018-03-09 ven.>,M,
Signaux Faibles,,accompagnement service statistique sur l'exploitation d'histo_sirene,<2018-03-09 ven.>,TU,
Signaux Faibles,,"Christophe continue codage POC du nouveau modèle, changement techno (python/pgsql devient golang/mongodb)",<2018-03-09 ven.>,AD,
Signaux Faibles,,Accompagnement technique du projet offre de service direccte TPE/PME,<2018-03-09 ven.>,T,
SocialConnect,,Internet OK au bureau (WIFI visiteur boosté),<2018-03-09 ven.>,I,
SocialConnect,,Dev OpenScraper 2ème semaine,<2018-03-09 ven.>,P,
SocialConnect,,Travail sur le kit de comm et identité graphique du projet,<2018-03-09 ven.>,P,
SocialConnect,,Arborescence du site version bêta,<2018-03-09 ven.>,P,
SocialConnect,,Macrozoning des écrans principaux,<2018-03-09 ven.>,P,
SocialConnect,,Déjeuner avec acteur du CGET,<2018-03-09 ven.>,S,
SocialConnect,,Discussion avec Bastien G sur passation d’un projet EIG,<2018-03-09 ven.>,M,
SocialConnect,,COPIL avec les membres du collectif + mentor,<2018-03-09 ven.>,M,
SocialConnect,,Présentation programme EIG en CODIR avec autres services de la DST du CGET,<2018-03-09 ven.>,M,
Archifiltre,,Intégration v2 de Stalactites dans le site web !,<2018-03-16 ven.>,P,
Archifiltre,,"Conception/Développement v3 Stalactites, révision infra",<2018-03-16 ven.>,P,
Archifiltre,,"v1 de l’outil ESOTIM pour détecter fichiers doublons, à partir DupeGuru",<2018-03-16 ven.>,P,
Archifiltre,,"Point avec DSI, qu'on va refaire régulièrement",<2018-03-16 ven.>,M,
Archifiltre,,Potentielle stagiaire,<2018-03-16 ven.>,M,
Archifiltre,,Tests utilisateurs sur Stalactites v2 et ESOTIM v1,<2018-03-16 ven.>,U,
Archifiltre,,Déjeuner Bastien pour réfléchir à l'ouverture de notre code,<2018-03-16 ven.>,A,
Archifiltre,,Ouverture repos GitHub EIG,<2018-03-16 ven.>,P,
Archifiltre,,Réflexion sur la communication autour de notre projet,<2018-03-16 ven.>,C,
Archifiltre,,Revue de fin de sprint n°2 avec nos mentors,<2018-03-16 ven.>,M,
b@liseNAV,,Suite codage mapping Aladin -> JS Data Model,<2018-03-16 ven.>,P,
b@liseNAV,,Planche de symboles cartes marines,<2018-03-16 ven.>,P,
b@liseNAV,,Rapport d'étonnement sur la gouvernance informatique @ Shom,<2018-03-16 ven.>,T,
b@liseNAV,,Driver S57 en C# (lecture fichiers S57 depuis env C# sans lib spécialisée),<2018-03-16 ven.>,P,
b@liseNAV,,Premières approches pour une carte interactive,<2018-03-16 ven.>,M,
BrigadeNumérique,,Rencontre DILA pour téléservice Violences S. (utilisation d’EasiWare),<2018-03-16 ven.>,C,
BrigadeNumérique,,Présentation du projet de prise de RdV à la DILA,<2018-03-16 ven.>,C,
BrigadeNumérique,,Rencontre 100% Contacts Efficaces (SGMAP),<2018-03-16 ven.>,C,
BrigadeNumérique,,Finalisation d'un premier jeu de proposition de maquette,<2018-03-16 ven.>,P,
BrigadeNumérique,,Retro-ingénering des UseCases EasiWare suite à l'évolution de la doctrine,<2018-03-16 ven.>,M,
BrigadeNumérique,,Réunion ST(SI)2 pour les 2 sujets : Transmission des horaires de brigades + Outil de prise de RdV,<2018-03-16 ven.>,M,
BrigadeNumérique,,Réunion technique EasiWare,<2018-03-16 ven.>,M,
BrigadeNumérique,,Découpage des besoins UX/UI,<2018-03-16 ven.>,U,
BrigadeNumérique,,Réunion hebdo MNGN,<2018-03-16 ven.>,M,
BrigadeNumérique,,Intégration du chat sur les différentes sites de la gendarmerie,<2018-03-16 ven.>,M,
BrigadeNumérique,,Echange avec la seule designer de la DGGN,<2018-03-16 ven.>,C,
CoachÉlèves,,Rencontre responsables BRNE pour solution de remontée de données,<2018-03-16 ven.>,D,
CoachÉlèves,,Montée en compétences sur norme xAPI pour BDD centralisée et API communicantes,<2018-03-16 ven.>,A,
CoachÉlèves,,Rencontre interne pour accès aux données d’examen,<2018-03-16 ven.>,D,
CoachÉlèves,,Etude de l’existant sur la gouvernance des données,<2018-03-16 ven.>,D,
CoachÉlèves,,Rencontre des équipes Pôle Emploi Store Dev à Nantes,<2018-03-16 ven.>,A,
CoachÉlèves,,Salon Eduspot pour rencontrer éditeurs de contenu,<2018-03-16 ven.>,D,
CoachÉlèves,,Rencontre projet gouvernance des données,<2018-03-16 ven.>,D,
CoachÉlèves,,Réunion Mentor pour définition de finalités du coaching,<2018-03-16 ven.>,M,
DataESR,,Contact DSI en vue de la mise en prod,<2018-03-16 ven.>,C,
DataESR,,Premières pierres de'API du MVP en Flask,<2018-03-16 ven.>,P,
DataESR,,Feuille de route du scientific tagger,<2018-03-16 ven.>,M,
DataESR,,Conférence IXTEX publications scientifiques,<2018-03-16 ven.>,D,
DataESR,,Montée en compétence sur Flask,<2018-03-16 ven.>,D,
DataESR,,Réupération de corpus de textes pour le scientif tagger,<2018-03-16 ven.>,P,
EIG Node,,Accueil et onboarding de Sophie qui fait ses premières PR sur github !,<2018-03-16 ven.>,I,
EIG Node,,Code review au LLL,<2018-03-16 ven.>,A,
EIG Node,,Préparation de la session EIG-mentors du 22/03,<2018-03-16 ven.>,M,
EIG Node,,« Levée de fonds » pour la promotion EIG3,<2018-03-16 ven.>,M,
EIG Node,,Avancée sur le rapport EIG,<2018-03-16 ven.>,M,
EIG Node,,Pitch du programme à l’événement « Ma fonction publique au 21^ème siècle »,<2018-03-16 ven.>,C,
EIG Node,,Commande de goodies pour les EIG (Paul),<2018-03-16 ven.>,C,
EIG Node,,Restitution du diagnostic sur la communication du programme,<2018-03-16 ven.>,C,
EIG Node,,Relecture prochain blog site EIG de Bastien,<2018-03-16 ven.>,C,
EIG Link,,Écriture d’une entrée de blog,<2018-03-16 ven.>,P,
EIG Link,,Saisie des retours hebdomadaires,<2018-03-16 ven.>,P,
EIG Link,,Session de revue de code,<2018-03-16 ven.>,M,
EIG Link,,Déjeuner avec Archifiltre sur l’open source,<2018-03-16 ven.>,M,
EIG Link,,Réunion Étalab sur la communication EIG,<2018-03-16 ven.>,M,
EIG Link,,Réunion MIMDEV,<2018-03-16 ven.>,M,
EIG Link,,Onboarding Sophie,<2018-03-16 ven.>,IM,
EIG Link,,Mises à jour sur le blog,<2018-03-16 ven.>,P,
EIG Link,,Test de Cloudron et sshuttle,<2018-03-16 ven.>,P,
Gobelins,,Analyse éléments graphiques existants / rencontre Com’ pour usages charte graphique,<2018-03-16 ven.>,U,
Gobelins,,Initiation de la Com’ à Google Analytics,<2018-03-16 ven.>,T,
Gobelins,,Prise de contact avec l’Institut des Métiers d’Art (INMA),<2018-03-16 ven.>,D,
Gobelins,,Visite de la réserve du Mobilier National (localisation secrète en Ile-de-France).,<2018-03-16 ven.>,D,
Gobelins,,Revue de code Open Scraper,<2018-03-16 ven.>,M,
Gobelins,,Revue de design : communication projet (avec Social Connect),<2018-03-16 ven.>,M,
Gobelins,,"Découverte de la BDD des travaux (restaurations, prestataires, etc)",<2018-03-16 ven.>,D,
Gobelins,,Réalisation d’affiches de sensibilisation interne au projet,<2018-03-16 ven.>,C,
Gobelins,,Poursuite du travail de cadrage du projet,<2018-03-16 ven.>,M,
Gobelins,,"Installation de l'accès à SCOM, réseau local & serveur fichiers",<2018-03-16 ven.>,I,
Gobelins,,"Première approche du modèle de données SCOM, lecture de documentation",<2018-03-16 ven.>,D,
Gobelins,,Premières réflexions sur l'architecture des données entrantes,<2018-03-16 ven.>,D,
Gobelins,,Rencontres: service tapisserie de décor contemporain,<2018-03-16 ven.>,U,
Gobelins,,Laurie a suivi une formation au tissage 😸,<2018-03-16 ven.>,A,
Hopkins,,Biblio lib de graphes et dérouillage en d3.js,<2018-03-16 ven.>,A,
Hopkins,,Viz graphe : ajout de labels sur les noeuds et les arcs,<2018-03-16 ven.>,P,
Hopkins,,Viz graphe : sélection dans une liste de top ben/don,<2018-03-16 ven.>,P,
Hopkins,,Viz graphe : limitation de la profondeur du graphe,<2018-03-16 ven.>,P,
Hopkins,,Viz graphe : couche esthétique en utilisant material-design (en cours),<2018-03-16 ven.>,P,
Hopkins,,Étude des faux négatifs. Bug : des matchs exacts ne sont pas matchés,<2018-03-16 ven.>,P,
Hopkins,,"Debug, nouveau matching et évaluation : le rappel passe de 14% à 65%",<2018-03-16 ven.>,P,
Hopkins,,Refactoring et documentation du code d’évaluation,<2018-03-16 ven.>,P,
Hopkins,,Amélioration Web App Validation,<2018-03-16 ven.>,P,
Hopkins,,Déploiement Gitlab + Documentation,<2018-03-16 ven.>,P,
Hopkins,,Début conversion python 3,<2018-03-16 ven.>,P,
Lab Santé,,Arrivée de Samah jeudi 15 !,<2018-03-16 ven.>,,
Lab Santé,Simplex,Ajout de données COMMUNALES/EPCI/ARR/DEPINSEE et FINESS par scraping du site finess.sante.gouv.fr. Galère car tout en .xls.,<2018-03-16 ven.>,D,
Lab Santé,Simplex,proposition d’un meilleur distancier point représentation d’une commune -> localisation précise de l’établissement puis calcul durations A->B par OSRM sur 600k trajets,<2018-03-16 ven.>,D,
Lab Santé,Simplex,Amélioration du modéle de préférence en changeant la target et la granularité des observations commune->commune => commune->établissement,<2018-03-16 ven.>,P,
Lab Santé,Simplex,"Doc du projet en l’état, rapport d’étonnement et propositions d’amélioration http://rpubs.com/arifelk/simplex1",<2018-03-16 ven.>,CP,
Lab Santé,Imputation,Retour du bureau utilisateur => ils veulent un benchmark des différentes méthodes,<2018-03-16 ven.>,CU,
Lab Santé,Communauté EIG,Revue de code au LLL (Prédi(--Secours--)Sauvetage et JPy pour Social Connect),<2018-03-16 ven.>,,
Lab Santé,GUEPARD,Présentation scraping,<2018-03-16 ven.>,PCT,
Lab Santé,GUEPARD,Google form pour retour utilisateur,<2018-03-16 ven.>,U,
Lab Santé,GUEPARD,Élargissement communauté gitlab et liens vers les démos,<2018-03-16 ven.>,CTU,
Lab Santé,Formation,Tuto Install anaconda : https://gitlab.com/jnaour/tutoriel-gitlab/blob/master/README.md,<2018-03-16 ven.>,PTC,
Lab Santé,Formation,Tuto Install TortoiseGit : https://gitlab.com/jnaour/tutoriel-gitlab/blob/master/README.md,<2018-03-16 ven.>,PTC,
Lab Santé,Formation,Tuto Install Git : https://gitlab.com/jnaour/tutoriel-gitlab/blob/master/README.md,<2018-03-16 ven.>,PTC,
Lab Santé,Formation,Formation Python - Module de base,<2018-03-16 ven.>,P,
Lab Santé,,Rencontre OpenDataSoft,<2018-03-16 ven.>,M,
Lab Santé,Scraping Medecins,Transmission scraping médecin,<2018-03-16 ven.>,MC,
Lab Santé,,Rencontre sous-dir OSAM et alignement,<2018-03-16 ven.>,M,
Lab Santé,Avis HAS,Stabilisation du code pour extraction de médicament et scraping médecins,<2018-03-16 ven.>,P,
Lab Santé,random,Tentative de connexion RDCOM R <-> Outlook pour faire reporting sur mes mails et les trier automatiquement par regexp ou autre… echec !,<2018-03-16 ven.>,AP,
Lab Santé,Communauté EIG,"Déj EIG ce 03-16, organisé via le channel slack SBFS",<2018-03-16 ven.>,Fun,
Prédisauvetage,,"Exploration des données croisées (SNSM, Direction des affaires maritimes)",<2018-03-16 ven.>,P,
Prédisauvetage,,Rédaction et présentation d'un rapport listant les incohérences détectées ainsi que des recommandations,<2018-03-16 ven.>,P,
Prédisauvetage,,Etude de l'impact de la salinité sur les interventions,<2018-03-16 ven.>,P,
Prédisauvetage,,GeoVisualisation des données d'accidents ([[https://www.youtube.com/watch?v=vRxaOQq3jJ8][youtube]]),<2018-03-16 ven.>,P,
Prédisauvetage,,Début de construction d'une WebApp Rshiny,<2018-03-16 ven.>,P,
Prédisauvetage,,Réunion de définition des priorités,<2018-03-16 ven.>,M,
Prévisecours,,Présentation interne (DSIC/MGMSIC) de PreviSecours (cadre et avancée),<2018-03-16 ven.>,C,
Prévisecours,,Préparation slides en anglais pour présentation Etalab du 27 mars,<2018-03-16 ven.>,C,
Prévisecours,,Tentative de geoMapping des casernes VS communes -> à approfondir,<2018-03-16 ven.>,P,
Prévisecours,,WebApp DSS Mise en place des nuages de points (format HeatMap),<2018-03-16 ven.>,P,
Prévisecours,,WebApp DSS amélioration (variabilisation des années…),<2018-03-16 ven.>,P,
Prévisecours,,WebApp DSS visualisation des Prédictions par communes,<2018-03-16 ven.>,P,
Prévisecours,,Création de la liste des contacts à remercier en fin de projet,<2018-03-16 ven.>,M,
Prévisecours,,V1 des données open data aggrégées à la semaine pour 2014-2017,<2018-03-16 ven.>,P,
Prévisecours,,Script d'export en batch des projets de DSS,<2018-03-16 ven.>,P,
Signaux Faibles,,Christophe a bien avancé codage du nouveau modèle et est sur le point d'aboutir,<2018-03-16 ven.>,AD,
Signaux Faibles,,Pierre a soulevé un ensemble de questions pour la Banque de France et l'Urssaf,<2018-03-16 ven.>,D,
Signaux Faibles,,Préparation d'un entretien avec la banque de france pour discuter des données,<2018-03-16 ven.>,DM,
Signaux Faibles,,Préparation d'éléments pour une réunion de service des chargés de mission,<2018-03-16 ven.>,MU,
Signaux Faibles,,"Quick & dirty algo logistique et SVM -> algo logistique régularisé décevant, revoir inputs",<2018-03-16 ven.>,D,
Signaux Faibles,,Intégration d'une nouvelle source de donnée Banque de France dans le modèle,<2018-03-16 ven.>,D,
Signaux Faibles,,Tentative de croisement SIRENE/DARES -> le service statistique de la Direccte traite le problème,<2018-03-16 ven.>,D,
Signaux Faibles,,"tentative de conversion SAS -> monde libre -> échec, encore (mais en vrai j'ai pas encore essayé)",<2018-03-16 ven.>,D,
Signaux Faibles,,Réception de nos Mugs,<2018-03-16 ven.>,I,
SocialConnect,,Participation à un atelier d’idéation pour Social Good week (Julien),<2018-03-16 ven.>,M,
SocialConnect,,Rapport d’étonnement avec notre mentor,<2018-03-16 ven.>,M,
SocialConnect,Kit Communication,Travail sur un kit de communication,<2018-03-16 ven.>,P,
SocialConnect,OpenScraper,"Code review EIG sur OpenScrapper (Julien)... merci, c’était top!",<2018-03-16 ven.>,A,
SocialConnect,OpenScraper,Avancées sur OpenScraper,<2018-03-16 ven.>,P,
SocialConnect,Kit Communication,Graphisme & communication review avec l’aide de Laurie (Elise),<2018-03-16 ven.>,A,
SocialConnect,,Macrozoning papiers du parcours de recherche de la Vbêta,<2018-03-16 ven.>,P,
SocialConnect,,Wireframe Adobe XD du parcours de recherche de la Vbêta,<2018-03-16 ven.>,P,
SocialConnect,,Réunion équipe revue d’écrans,<2018-03-16 ven.>,M,
Archifiltre,,Nouvelles fonctionnalités sur Stalactite,<2018-03-23 ven.>,P,
Archifiltre,,Début de construction du back de Stalactite,<2018-03-23 ven.>,P,
Archifiltre,,Ateliers retours utilisateurs sur Stalactite,<2018-03-23 ven.>,U,
b@liseNAV,,Présentation des données Aladin chargées sur une carte web,<2018-03-23 ven.>,P,
b@liseNAV,,Rapprochements entre données Aladin et base Shom,<2018-03-23 ven.>,DP,
b@liseNAV,,Driver S-57 vers objets S-201,<2018-03-23 ven.>,P,
b@liseNAV,,Revue des mécanismes possibles de mise à jour de la S-201,<2018-03-23 ven.>,DU,
CoachÉlèves,,RDV avec équipe gouvernance des données de la DNE B 2,<2018-03-23 ven.>,C,
CoachÉlèves,,Lecture guide méthodologique DNE B2,<2018-03-23 ven.>,A,
CoachÉlèves,,Rencontre avec DGESCO sur gouverance données,<2018-03-23 ven.>,CM,
CoachÉlèves,,Premère rencontre avec la DEPP,<2018-03-23 ven.>,C,
CoachÉlèves,,Rencontre PA Chevalier pour gouvernance données,<2018-03-23 ven.>,C,
CoachÉlèves,,Etude la norme xAPI,<2018-03-23 ven.>,A,
CoachÉlèves,,Commencé implémentation d'un LRS,<2018-03-23 ven.>,I,
DataESR,,Dev front pour l'app d'admin interne en React,<2018-03-23 ven.>,P,
DataESR,,Backend de l'authentification,<2018-03-23 ven.>,P,
DataESR,,Test de mise en staging,<2018-03-23 ven.>,P,
DataESR,,Dev d'une petit librairie python pour test le nlp en FR,<2018-03-23 ven.>,P,
DataESR,,Design de l'infra pour le NLP,<2018-03-23 ven.>,U,
EIG Link,,Ajout de mes projets sur https://todo.eig-apps.org,<2018-03-23 ven.>,P,
EIG Link,,Réunion avec CoachÉlève,<2018-03-23 ven.>,M,
EIG Link,,Réunion avec Lab Santé,<2018-03-23 ven.>,M,
EIG Link,,Session d’accompagnement,<2018-03-23 ven.>,P,
EIG Link,,Test et staging pour suivi_auto (merci Emmanuel !),<2018-03-23 ven.>,P,
EIG Link,,Configuration https://twitter.com/eigforever,<2018-03-23 ven.>,PC,
EIG Link,,Accès admin au Nextcloud pour Christophe,<2018-03-23 ven.>,P,
EIG Link,,Mini-prise en main + config proxmox pour Julien,<2018-03-23 ven.>,M,
EIG Link,,Correction de la configuration des listes (merci Tiphaine !),<2018-03-23 ven.>,P,
EIG Link,,Organisation garagethon Storia,<2018-03-23 ven.>,M,
EIG Link,,Accès etemptation (pour poser des congés),<2018-03-23 ven.>,I,
EIG Link,,Installation instance matomo pour Gobelins,<2018-03-23 ven.>,P,
Gobelins,,Roadmap fonctionnelle (macro) sur les 10 mois,<2018-03-23 ven.>,M,
Gobelins,,Tentative de cadrage de suivi de projet avec l’équipe élargie,<2018-03-23 ven.>,M,
Gobelins,,Précision des utilisateurs,<2018-03-23 ven.>,U,
Gobelins,,Premières étapes de nettoyage des données de la base principale,<2018-03-23 ven.>,D,
Gobelins,,Prise de contact informelle avec tous les membres des équipes DSI,<2018-03-23 ven.>,TM,
Gobelins,,Flux de données: première approche de l’automatisation des exports entre le MN et la DSI.,<2018-03-23 ven.>,TM,
Gobelins,,"Définition stack avec DSI: PHP, JS client-side only, Ansible pour gestion de config",<2018-03-23 ven.>,TM,
Gobelins,,Définition de la collaboration avec les étudiants de masters (récolte de contenus),<2018-03-23 ven.>,D,
Gobelins,,Préparation Atelier UX/UI,<2018-03-23 ven.>,A,
Gobelins,,Signalétique bureau + présentation projet,<2018-03-23 ven.>,C,
Gobelins,,Obtention « base de données » textiles + aides techniques envisagées,<2018-03-23 ven.>,D,
Gobelins,,Récolte besoins service ameublement,<2018-03-23 ven.>,U,
Hopkins,Matching,Amélioration de l'app de graphe,<2018-03-23 ven.>,P,
Hopkins,Matching,test de matching utilisant du Locality Sensitivity Hashing sur Sp...,<2018-03-23 ven.>,A,
Hopkins,Matching,Effacer toutes les tables présentes sur HDFS,<2018-03-23 ven.>,P,
Hopkins,Matching,Evaluation de matching avec différentes limite de nombre de résul...,<2018-03-23 ven.>,P,
Hopkins,Matching,Etude de différentes variations de la mesure group level Generali...,<2018-03-23 ven.>,P,
Hopkins,Matching,Rédaction d'une première version de protocole d'évaluation,<2018-03-23 ven.>,P,
Hopkins,Text,Automatisation push gitlab,<2018-03-23 ven.>,P,
Hopkins,Text,Passage python 3 finit,<2018-03-23 ven.>,P,
Hopkins,Text,Amélioration web app évaluation prédictions,<2018-03-23 ven.>,P,
Hopkins,Text,Prise de rdv Users,<2018-03-23 ven.>,U,
Lab Santé,Formation,Formation R initiation,<2018-03-23 ven.>,CT,
Lab Santé,Formation,Google Forms et retour des 9 stagiaires après la formation http://bit.ly/results_form_r_init,<2018-03-23 ven.>,CT,
Lab Santé,Formation,Documentation et partage du contenu de formation sur gitlab DREES,<2018-03-23 ven.>,P,
Lab Santé,Simplex,Mise au point du modèle contraint SIMPLEX,<2018-03-23 ven.>,P,
Lab Santé,Communauté EIG,"rencontre Etalab (Bastien, Mathilde et Marion Paclot) - LabSanté (3 EIG + Mentor)",<2018-03-23 ven.>,MC,
Lab Santé,Simplex,Définition de viz pour comparer les approches du simplex,<2018-03-23 ven.>,P,
Lab Santé,Simplex,Réunion utilisateurs et point d'avancement,<2018-03-23 ven.>,CMT,
Lab Santé,Séminaire Big Data,Présentation de Prédical : objet connectés + modèle stats (détection d'écart à la routine) pour alerter en cas de risques chez les personnes âgées,<2018-03-23 ven.>,M,
Lab Santé,Ateliers projets R,Lancement des ateliers d'accompagnement R sur une population de 60 statisticiens DREES,<2018-03-23 ven.>,CT,
Lab Santé,,création d’un espace de travail sur slack pour la DREES : bigdata-sante-social,<2018-03-23 ven.>,T,
Lab Santé,Avis HAS,Point d'étape,<2018-03-23 ven.>,M,
Lab Santé,,Participation au colloque Big Data en santé,<2018-03-23 ven.>,,
Lab Santé,,BigData Summit http://g5.asso.fr/wp-content/uploads/Invitation-Healthcare-Data-Summit-VF.pdf,<2018-03-23 ven.>,,
Lab Santé,Pubmed,utilisation d’une API qui permet de récupérer les données sans avoir à scrapper le site,<2018-03-23 ven.>,,
Lab Santé,Pubmed,1er tests avec la récupération de tous les articles contenant le terme PMSI (249 publications),<2018-03-23 ven.>,,
Lab Santé,Formation,Suivi/amélioration appli Shiny « Condition de vie des enfants »,<2018-03-23 ven.>,AP,
Prédisauvetage,,Présentation du rapport d'incohérence à l'équipe Sécurité Maritime pour comprendre celles-ci,<2018-03-23 ven.>,M,
Prédisauvetage,,Réunion avec la maitrise d'ouvrage du nouveau système de saisie des opérations (SEAMIS),<2018-03-23 ven.>,M,
Prédisauvetage,,Visite à l'Assemblée Nationale avec Bridage Numérique où nous avons pu assister à une séance,<2018-03-23 ven.>,M,
Prédisauvetage,,Présentation du projet au SG mer où étaient présentes les fédérations de plaisanciers et loisirs nautiques,<2018-03-23 ven.>,C,
Prédisauvetage,,Réunion de travail avec le SNOSAN sur les analyses des accidents plaisance/loisirs nautiques à présenter en avril,<2018-03-23 ven.>,P,
Prédisauvetage,,Suite de réflexion et création application web de visualisation (graphiques et cartographie),<2018-03-23 ven.>,P,
Prédisauvetage,,Relance modification règles pare-feu à la Défense pour accéder à des serveurs / BDD à St Malo,<2018-03-23 ven.>,S,
Prévisecours,,Discussion Metiers sur le format du livrable,<2018-03-23 ven.>,M,
Prévisecours,,WebApp DSS ameliorations,<2018-03-23 ven.>,P,
Prévisecours,,Nouvelle version des modèles de prédictions avec les données 2014-2017,<2018-03-23 ven.>,P,
Prévisecours,,Script de commit des back ups sur github,<2018-03-23 ven.>,P,
Prévisecours,,Mise en place de la sauvegarde automatique des projets,<2018-03-23 ven.>,P,
Prévisecours,,WebApp DSS mise en place de D3js dans les pop up leaflet,<2018-03-23 ven.>,P,
Prévisecours,,WebApp DSS adaptation Chrome + Firefox,<2018-03-23 ven.>,P,
Prévisecours,,"Gestion du contact de météo France (calls, mails, signatures de paperasses) -> en bonne voie",<2018-03-23 ven.>,D,
Prévisecours,,copie à l'instant t pour historisation des résultats,<2018-03-23 ven.>,P,
Prévisecours,,révision de notre nomenclature interne pour les datasets de DSS,<2018-03-23 ven.>,S,
Prévisecours,,Obtention de la data sur les épidémies en France,<2018-03-23 ven.>,D,
Prévisecours,,Montée en compétence sur Python 3,<2018-03-23 ven.>,A,
Prévisecours,,"Contact et sondage pour les ""tech talks"" EIG",<2018-03-23 ven.>,C,
Prévisecours,,Farming de modèle sur des sous ensemble de type d'interventions,<2018-03-23 ven.>,P,
Prévisecours,,Récupération de données CAF,<2018-03-23 ven.>,D,
Prévisecours,,Familiarisation avec GraphQL pour commit nos back ups de code sur Github,<2018-03-23 ven.>,A,
Prévisecours,,Test de solution pour commit les back ups de code,<2018-03-23 ven.>,S,
Prévisecours,,Relance pour des données délinquance,<2018-03-23 ven.>,D,
Prévisecours,,Visite du centre de réception des appels des sapeurs pompiers du 91 (CTA CODIS) et atelier autour du secours à personne,<2018-03-23 ven.>,M,
Signaux Faibles,,Rencontre Banque de France > Done.,<2018-03-23 ven.>,CD,
Signaux Faibles,,Réunion de service des chargés de mission > En cours.,<2018-03-23 ven.>,U,
Signaux Faibles,,LLL thursday > Yeah !,<2018-03-23 ven.>,AU,
Signaux Faibles,,MapReduce à l’assaut du versioning > Pas encore finalisé.,<2018-03-23 ven.>,D,
Signaux Faibles,,Process d'intégration des données > Pas encore finalisé,<2018-03-23 ven.>,D,
Signaux Faibles,,Feature Engineering > En cours.,<2018-03-23 ven.>,D,
Signaux Faibles,,Dashboard pour présenter les données du projets aux utilisateurs quelques expérimentations de visualisation.,<2018-03-23 ven.>,U,
Signaux Faibles,,Rencontre Banque de France > Done.,<2018-03-23 ven.>,CD,
Signaux Faibles,,Réunion de service des chargés de mission > En cours.,<2018-03-23 ven.>,U,
Signaux Faibles,,LLL thursday > Yeah !,<2018-03-23 ven.>,AU,
Signaux Faibles,,MapReduce à l’assaut du versioning > Pas encore finalisé.,<2018-03-23 ven.>,D,
Signaux Faibles,,Process d'intégration des données > Pas encore finalisé,<2018-03-23 ven.>,D,
Signaux Faibles,,Feature Engineering > En cours.,<2018-03-23 ven.>,D,
Signaux Faibles,,Dashboard pour présenter les données du projets aux utilisateurs quelques expérimentations de visualisation.,<2018-03-23 ven.>,U,
SocialConnect,,Structuration de la landing page pour le Social Connect (Elise),<2018-03-23 ven.>,P,
SocialConnect,,Intégration des retours du copil sur les éléments de communication (Elise),<2018-03-23 ven.>,P,
SocialConnect,,Point communication EIGs+mentor,<2018-03-23 ven.>,M,
SocialConnect,,Pitch du programme EIG + projet Social Connect pour bicentenaire des Caisses d’Epargne (Elise),<2018-03-23 ven.>,M,
SocialConnect,,"OpenScraper : spiders non bloquants, UI-UX, ajouts de nouveaux spiders via l’UI",<2018-03-23 ven.>,P,
SocialConnect,,Conf à Nantes annulé à cause grèves  (Julien),<2018-03-23 ven.>,C,
SocialConnect,,Point technique bimensuel avec la mentor (et bientôt son n+1),<2018-03-23 ven.>,M,
BrigadeNumérique,,Organisation et conception atelier de définition de l’outil de RdV,<2018-03-27 mar.>,M,
